"id","bfi_e","bfi_a","bfi_c","bfi_n","bfi_o"
101,3.5,1.5,4,2,4
103,4,4.5,3.5,2.5,5
104,3,4.5,4.5,2.5,3
105,3.5,3.5,3,3.5,4.5
106,3,3.5,5,1.5,3
107,5,4,5,1.5,4
108,3.5,3,5,4.5,3
109,3.5,3,3,4,3
110,3,3.5,3.5,3.5,5
111,3,3.5,3,3.5,2
112,2.5,3.5,3.5,2,1.5
113,4,4,5,2.5,4
114,4.5,4.5,3,3,5
116,4.5,4,4.5,3,4
117,2,4,4,2.5,3
118,1.5,3,3.5,3,4
119,3.5,5,5,2,3.5
120,2.5,4.5,3.5,4,3
121,2.5,3,2.5,1.5,3.5
122,4,1.5,5,4,3.5
123,3.5,1.5,5,4.5,5
124,1.5,1.5,5,4,4
125,2,4.5,3,3.5,3
126,4,3.5,4.5,3.5,3.5
127,4,4.5,5,2,3
129,1.5,4,3.5,3,3.5
130,2.5,3.5,4,3.5,5
201,5,5,3,2,5
202,4.5,4.5,3.5,4,4.5
203,3.5,4,4,2,5
204,3,3,4,2.5,2.5
205,3.5,4,4,2.5,3.5
206,5,3.5,3.5,3,3
207,3,4,4,4,2.5
208,2,3.5,5,4,4.5
209,1.5,4,2.5,3,2
210,2,3,4.5,2.5,4
211,3,4,4,3,3.5
212,4,4.5,4,2,3.5
213,4.5,4.5,2.5,1,3.5
214,3,4.5,3,2.5,2.5
215,4.5,4,2.5,3,5
218,2.5,5,5,1,5
219,3,2.5,3,3,4
220,3,3.5,5,3.5,4.5
221,2.5,3,5,2.5,3
222,4.5,3.5,2.5,1,5
223,3,2,2.5,2.5,3.5
225,2,3,3.5,4,4
226,1.5,3.5,2.5,4.5,3.5
227,1,4.5,3.5,4,3.5
228,3,3,4,4,5
229,1.5,5,2.5,3,5
230,5,4.5,4.5,2,4.5
231,3,3.5,3.5,2,4
233,3,2,3,1.5,3
234,5,4,3.5,4,2
237,1.5,1.5,3,2,3
238,2,4,3,3.5,4
239,3,3,3.5,4.5,1
240,4.5,4.5,4,3,3.5
241,4,4,4,1.5,3
242,1,5,5,3.5,5
243,4,4.5,5,3,4.5
244,2,5,4.5,2,3.5
245,3.5,4,4,3,4
246,1.5,4,3,3.5,4
247,4,4,5,4.5,3
248,3,4,2.5,4,4
249,3.5,3.5,3,3.5,3.5
301,4.5,3,2.5,2.5,3
302,3.5,4,4,3.5,3.5
303,3,4.5,4.5,2,3.5
304,5,5,3,2.5,4.5
305,4.5,4.5,4,1.5,4
306,4,3,4,4,4.5
307,2.5,4.5,3,4,2.5
308,5,3.5,3.5,4,5
309,5,4.5,3,4.5,2.5
310,3.5,4.5,4,2.5,4
311,4.5,2.5,4.5,3.5,5
312,2.5,1,3,3.5,4
313,4,3,3.5,2.5,3.5
314,5,4,4,2.5,5
315,4.5,4,2.5,3,4
316,2,3,3.5,3,3.5
317,4,4,4,3.5,3.5
318,3.5,4,3.5,4,4.5
320,3.5,3.5,3.5,3,4
321,4,2.5,4.5,4.5,2
322,3,3.5,2.5,4,4
323,5,2.5,4,4.5,4.5
324,5,2.5,3,2.5,3.5
325,3,3,3,3.5,4
326,4.5,3,2.5,2.5,2.5
327,5,2.5,2.5,1,5
328,4,4.5,5,5,3.5
329,3.5,3,5,3.5,3.5
330,4,3.5,3,4,3
331,4,1.5,3,4,5
332,2.5,3,4,4,2.5
333,3.5,3,3,2.5,3.5
334,4,3.5,5,4,2
335,2,4.5,4.5,3.5,1
336,4,3.5,4.5,3.5,2
337,4,4.5,1.5,5,3.5
338,5,4,5,1,2.5
339,1.5,3,5,2.5,4
340,3.5,3,3.5,3,2.5
341,3.5,4,4,2.5,4
342,3,3.5,5,1.5,2.5
343,3,2,2.5,4,2
344,3,4,3.5,2.5,2.5
345,3,4,4.5,4,3
401,3.5,4,3,4.5,2.5
402,2.5,4.5,4.5,5,4
403,4,4,4,1.5,5
404,3,4.5,3,2.5,3.5
405,3,2,5,2.5,3
406,5,3.5,4.5,1.5,5
407,4,2.5,3,2,4
408,3,4.5,5,2.5,4
409,3.5,4.5,4.5,4,4.5
410,4,4,3.5,2,4
411,3,4,4,2,3
412,4,3,4,4,4.5
413,2,1.5,5,4.5,3.5
414,4.5,1.5,2,4,3
415,2,4.5,2.5,2.5,3.5
417,4.5,4,2.5,3.5,2.5
418,1,4,2.5,4,4.5
419,3,4.5,4,3.5,2.5
420,3,4,4.5,3,4.5
421,2.5,4,4,3.5,5
422,4.5,3.5,5,3.5,3
423,3.5,3,4,2.5,5
424,2.5,3,4,3.5,3
425,3.5,3,4,3,3.5
426,4.5,3,2.5,3.5,5
427,3.5,2.5,4,3,4.5
428,3,3.5,5,1,4
429,2.5,3,4,4,3
430,2.5,4,4,2,4
431,4,4,3.5,3,4
432,4,4.5,5,3,4.5
433,3.5,5,5,2.5,3.5
434,3.5,3,4,4.5,3
435,5,4.5,4,2,4
436,3,5,5,4,2.5
437,5,3.5,2.5,2.5,4.5
438,3,4.5,4.5,2,2.5
439,1.5,2.5,3.5,3,4.5
440,3,5,3.5,4.5,4.5
441,3,4,2,3.5,4.5
442,5,4.5,2.5,2,3.5
501,3.5,3,5,3,4.5
502,5,4,4,2,3.5
503,3,1.5,3.5,2.5,5
504,4.5,3,4.5,2,5
505,3.5,3.5,3.5,2.5,3.5
506,2.5,3.5,3,3.5,3.5
507,4,4,4,2.5,3
508,4.5,4.5,4.5,2,2.5
509,3,4.5,4.5,1.5,2.5
510,2,2.5,4,2,1
511,2,3.5,4,2,2
512,3.5,4.5,5,3.5,4.5
513,3,3.5,4,3,2.5
514,4,4.5,3,4,4.5
515,2,3.5,3.5,3.5,3
516,3.5,4,4.5,3,5
517,4,4,3.5,1.5,5
518,2.5,4,3,1,4
519,3.5,3,2.5,3.5,3.5
520,3,3,3,2,2
521,4,4,4,2.5,3
524,3,4.5,5,3.5,4.5
525,5,3.5,3.5,2,2
526,4.5,3.5,4.5,3.5,3.5
527,2,3,3,3.5,2
528,4,3.5,3,3,3.5
530,3,5,3.5,2,4.5
531,3.5,3.5,2.5,2,1.5
532,4,2,4,2,4
